State,Year 2017,Year 2016,Year 2015,Year 2014,Year 2013,Year 2012,Year 2011,Year 2010,Year 2009,Year 2008,Year 2007,Year 2006
Alabama,107.2,121,125,135.2,142.4,143.8,136.6,134.3,131.6,126.1,120.3,115.6
Alaska,52,58.9,60.8,62.7,63.7,66.8,68,68.4,67.3,68.5,66.6,63.4
Arizona,61.2,70.2,75.5,79.7,80.4,85.3,88.6,88.5,84.2,80.9,77.8,74.3
Arkansas,105.4,114.6,117.2,123.2,120.9,121.8,115.2,120.8,116,112.1,108.2,98.3
California,39.5,44.8,47.7,52.7,54.4,56.4,55.9,55.8,55.6,55.1,53.6,51
Colorado,52.9,59.8,65.1,69.6,71.2,73.5,73,72,69.8,67.7,65.9,62.2
Connecticut,48,55.9,62.3,66,67.4,69.3,69.1,68.6,68.1,68.7,67.5,64.7
Delaware,68.3,79.2,84.4,91,92.7,94,99.7,101.1,97.5,95.4,92.3,86.6
District of Columbia,28.5,32.5,35.7,40.1,41.1,40.3,39.8,37.1,34.4,34.5,41.2,31.7
Florida,60.9,66.6,67.1,71.4,73.5,75.9,83.5,87.6,86.3,84.3,82.2,79.7
Georgia,70.9,77.8,79.4,83.8,86.6,89.4,88.6,90.2,88.2,86.3,82.5,79.8
Hawaii,37,41.9,44.3,47.7,49.4,50.4,50.1,50.1,47.8,46.6,44.5,42.3
Idaho,70.3,77.6,81.9,87.4,89.2,92,91.4,88.6,85.2,82.7,78.8,75.6
Illinois,51.1,56.8,59.1,62.3,63.7,66.1,64.3,63.1,61,60.2,59.2,55.6
Indiana,74.2,83.9,89.1,96.7,106.3,110.5,106.7,107.1,105.6,103.3,99.7,94.3
Iowa,56.4,64,68.6,72.3,72.2,74.1,64,62.3,60.4,59.1,57.1,59.3
Kansas,69.8,76.9,80.5,86.5,88.7,90.3,87.8,86.1,82.8,82.7,80.6,77.5
Kentucky,86.8,97.2,102.6,110,111.7,127.9,137,136.5,135.2,136.6,130.8,122.6
Louisiana,89.5,98.1,100.4,108.9,112.4,113,111.7,112.6,113,113.7,110.1,109.2
Maine,55.7,66.9,76.5,82.4,85.9,89.7,93.1,92.8,87.9,88.7,85.4,83.6
Maryland,51.7,58.7,63,67.6,69,72.2,72.9,71.2,66.9,65.5,63.3,60.1
Massachusetts,40.1,47.1,54,59.6,63,65.7,65.9,67.9,68.9,69.2,68.2,66
Michigan,74.2,84.9,90.5,98,98.9,100.7,98.8,96,91.6,89.9,85.6,80.2
Minnesota,41,46.9,52.1,56.6,58.3,60.9,60,59,58.6,56.5,53.7,50.3
Mississippi,92.9,105.6,110.9,116.3,119.6,121.8,117.2,118.1,117.3,113.2,109.9,102.7
Missouri,71.8,80.4,84.5,90.7,93.3,95.4,91.6,91,88.5,86.8,84.3,80.5
Montana,61.1,69.8,73.3,80.1,84.2,87.7,85.3,87.2,85.8,85.3,81.1,79.1
Nebraska,56.6,62.8,65.5,70.1,71.3,73.2,68.8,69,66.4,66.2,65.1,64.3
Nevada,73,80.7,85.4,90.1,91.1,98.9,100.3,97.3,94,97,90.2,87.7
New Hampshire,52.8,64.3,74.8,79.6,82,83.7,80.9,81.6,81.5,81.7,78.5,75
New Jersey,44.2,52.6,56,57.2,58.3,60.1,61.5,61,59.9,59.5,57.2,54.7
New Mexico,56.4,65.1,69.8,71.5,71.4,76.8,81.6,81.9,75.3,71.4,69,61.8
New York,37.8,42.7,45.1,43.9,46.7,51.8,51.1,51,49.5,48.4,46.1,44.2
North Carolina,72,82.5,88.4,93.7,96.7,98.6,93.5,93.1,89.3,88.6,87.5,85.2
North Dakota,41.5,47.8,53,58.1,60.1,62.1,61.3,63,60.3,61.7,59.3,56
Ohio,63.5,75.3,82.7,89.5,93.1,97.5,101.5,102.4,100.4,97.5,92.7,87.7
Oklahoma,88.1,97.9,104.4,110.9,123.3,127.4,122.3,119.6,115,111.3,114.4,108.7
Oregon,66.1,76.3,84.2,91.9,94.2,98.7,100.7,101.2,99.3,99.1,95.5,91
Pennsylvania,57.7,69.5,75.5,79.9,81.6,83.3,81.7,81,78.1,76.5,73.7,69.5
Rhode Island,51.2,60.3,65.7,72.8,76.9,83.2,82.5,82.7,82.5,82.9,82.2,78.7
South Carolina,79.3,89.4,95.1,101.3,103,104,96.8,98.6,95.8,94.1,91.7,90.4
South Dakota,49,54.8,59.1,61.7,60.6,60.1,55.1,54,52.3,52.1,49.9,50
Tennessee,94.4,107.5,114.9,121.3,127.1,136.1,138.5,140,138.4,132.9,128.8,124.8
Texas,53.1,57.6,59.8,67,70,73.4,72,73,71.8,71.3,71.2,66.8
Utah,63.8,70.4,74.4,78.8,82.1,84.5,85.2,86.6,86.9,91.3,89.8,87
Vermont,50.5,58.6,60.1,50.4,52.2,54.6,53.6,54.1,54.5,56.5,56,56.9
Virginia,52.9,63.4,68.1,73.5,76.6,79.6,76.6,75.5,74.1,73,70.1,67.2
Washington,57.2,64.9,69.8,74.2,75.2,78.7,81.6,85,86.1,86.6,84.4,80.8
West Virginia,81.3,96,111.3,126.4,129,136.9,139.6,143.1,146.9,145.5,135.1,129.9
Wisconsin,52.6,62.2,67.5,71.9,73.8,76.8,75.2,74.4,71.9,70.6,69.2,64.7
Wyoming,64.8,71.1,75.4,80.9,81.5,80.5,78.2,80.4,81,81,80.8,79.9